continent,country,OSMID,name,center_lat,center_lon,north,south,east,west
Oceania,australia,10300697,University of Queensland Medical School,-27.44857085,153.0242599,-27.4478636,-27.4494858,153.0251464,153.022575
Oceania,australia,105574130,University of Adelaide,-34.91849814,138.6043679,-34.9169696,-34.9209916,138.6067396,138.6017225
Oceania,australia,10585250,"Monash University, Clayton Campus",-37.91056217,145.1372182,-37.9048662,-37.9164027,145.1451841,145.1279888
Oceania,australia,106602760,,-34.40468999,150.8715945,-34.4040515,-34.4052739,150.8726983,150.8699288
Oceania,australia,107270526,,-34.4087698,150.8805306,-34.4082359,-34.4091053,150.882315,150.8787797
Oceania,australia,113107042,Newman College,-37.79470998,144.9640015,-37.7941925,-37.7958771,144.9647796,144.9627605
Oceania,australia,113107044,St Mary's College,-37.7962769,144.9636336,-37.7956832,-37.7966016,144.9645566,144.9626543
Oceania,australia,113107046,St Hilda's College,-37.79244376,144.9625264,-37.7920486,-37.7931952,144.9633756,144.9619254
Oceania,australia,11454576,Melbourne School of Theology,-37.85962833,145.2096733,-37.8589915,-37.8604232,145.2108344,145.2077446
Oceania,australia,132416557,Queen's College,-37.79356255,144.9632844,-37.7924357,-37.7943586,144.9647579,144.9618917
Oceania,australia,143933621,Churches of Christ Theological College,-37.92779911,145.1956992,-37.9270876,-37.9286278,145.1964818,145.1945452
Oceania,australia,149860711,Federation University Australia Equestrian Centre,-37.5097774,143.8479344,-37.5055501,-37.5130952,143.8520087,143.8455044
Oceania,australia,154615415,Charles Darwin University,-12.3726244,130.8694858,-12.3678201,-12.3746935,130.8729158,130.8633906
Oceania,australia,15472995,Saint Francis Theological College,-27.46802124,153.0036667,-27.4661642,-27.4687827,153.0046178,153.0020072
Oceania,australia,159947005,The University of Melbourne Werribee Campus,-37.88946183,144.6931791,-37.8877454,-37.8914832,144.6956609,144.6911655
Oceania,australia,159951097,The University of Melbourne Creswick Campus,-37.42266408,143.8991491,-37.4203476,-37.4238853,143.9027934,143.8966908
Oceania,australia,160913294,Avondale College of Higher Education,-33.08649851,151.4614884,-33.0836044,-33.0885482,151.4646013,151.4587852
Oceania,australia,163772556,"University of Newcastle, Callaghan Campus",-32.89327509,151.7024853,-32.8843618,-32.8972335,151.7135557,151.6953338
Oceania,australia,172146462,Central Queensland University,-21.1758484,149.1414061,-21.1729282,-21.1787054,149.1437183,149.1400543
Oceania,australia,172801510,"University of Western Sydney, Hawkesbury Campus",-33.61007599,150.7289863,-33.6020562,-33.6238005,150.7427321,150.7184166
Oceania,australia,173530296,University of New South Wales Kensington Campus,-33.91758131,151.2308906,-33.9149767,-33.9200415,151.2364136,151.2256851
Oceania,australia,173919788,University of Queensland Gatton Campus,-27.55282242,152.3371313,-27.545147,-27.5615018,152.3505282,152.3237717
Oceania,australia,180360037,Deakin University,-37.84723608,145.1141853,-37.8453974,-37.84993,145.1168918,145.1128309
Oceania,australia,182689240,University of New South Wales,-33.78037455,151.2577184,-33.7795266,-33.7814274,151.2584565,151.2559425
Oceania,australia,183970570,University of the Sunshine Coast,-26.71648025,153.0671742,-26.7134308,-26.7227289,153.0733859,153.0582949
Oceania,australia,192029917,"Federation University, Wimmera Campus",-36.71243528,142.1848425,-36.7118599,-36.7127128,142.1871608,142.1832371
Oceania,australia,194450788,Deakin University (Warrnambool Campus),-38.39235796,142.5366044,-38.3863336,-38.3955837,142.5424905,142.5317664
Oceania,australia,194854309,Carnegie Mellon University,-34.92812533,138.6011844,-34.9278463,-34.9284044,138.6015143,138.6008545
Oceania,australia,197862208,Federation University Gippsland Campus,-38.31165403,146.4285863,-38.3082132,-38.3156407,146.4336775,146.4236815
Oceania,australia,201703380,University of Western Sydney - Bankstown,-33.94033195,150.9918587,-33.9380773,-33.9432982,150.994324,150.9883349
Oceania,australia,202232474,"Western Sydney University, Parramatta North Campus",-33.80730233,151.022796,-33.8058766,-33.8090508,151.0239142,151.0210112
Oceania,australia,202232476,,-33.81280677,151.0275445,-33.810731,-33.8145346,151.0289018,151.0262764
Oceania,australia,202353115,WSU Werrington North,-33.76084489,150.7499943,-33.7577338,-33.7655662,150.7564437,150.7396833
Oceania,australia,202356825,UWS Westmead,-33.8067469,150.9872117,-33.8051023,-33.8079802,150.9879156,150.9851802
Oceania,australia,202871808,Federation University Australia (SMB Campus),-37.56623978,143.8569161,-37.5645143,-37.5679309,143.8585085,143.855562
Oceania,australia,206595898,James Cook University,-16.81820711,145.6872845,-16.814965,-16.8206224,145.6927179,145.6807559
Oceania,australia,207693612,Macquarie University,-33.77452758,151.1152506,-33.7676962,-33.7812113,151.1203977,151.1049696
Oceania,australia,20808147,Charles Sturt University Mitchell,-33.43097045,149.5625046,-33.4259246,-33.4355987,149.5681207,149.5545834
Oceania,australia,209287987,Charles Sturt University,-35.30476864,149.1381331,-35.3033195,-35.3062014,149.1398582,149.1364068
Oceania,australia,214025582,"University of Sydney, Burren Street Campus",-33.89608397,151.1844517,-33.8957398,-33.8963676,151.1850231,151.1839574
Oceania,australia,216286361,"University of Adelaide, Roseworthy Campus",-34.5287085,138.6829978,-34.5232144,-34.5334629,138.6913482,138.6733892
Oceania,australia,219849477,RMIT University,-37.80836663,144.9611692,-37.8080814,-37.8089002,144.9613402,144.9607071
Oceania,australia,220456421,"University of Adelaide, Roseworthy Campus, Farm Animal Teaching Facility",-34.54731235,138.52091,-34.5442532,-34.5503708,138.5246318,138.5171733
Oceania,australia,220560922,"University of Adelaide, Roseworthy Piggery",-34.51161759,138.6795961,-34.5100786,-34.5133728,138.6807358,138.6784547
Oceania,australia,224363101,Medical Science Precinct,-42.87820629,147.3299226,-42.87782,-42.8789045,147.3304715,147.3290977
Oceania,australia,224959702,Flinders University,-35.02562006,138.5731009,-35.0165367,-35.0335856,138.5852657,138.565069
Oceania,australia,225766173,Nirimba Education Precinct,-33.72469273,150.8754179,-33.7195277,-33.7293169,150.883143,150.8679643
Oceania,australia,225921820,Charles Darwin University,-23.69891221,133.8972852,-23.6973461,-23.7006844,133.8986049,133.8949884
Oceania,australia,229131566,Australian Defence Force Academy,-35.29276692,149.1661493,-35.2873894,-35.2961741,149.1702454,149.1611942
Oceania,australia,22944315,University of Canberra,-35.2383068,149.0819236,-35.2316636,-35.2422721,149.0914746,149.074698
Oceania,australia,23488345,Brisbane North Institute of TAFE - Ithaca,-27.44834853,152.9944563,-27.4464322,-27.4504176,152.9962058,152.9933489
Oceania,australia,23921183,University of Tasmania,-42.90660511,147.3215836,-42.8992843,-42.9141675,147.3314726,147.3092897
Oceania,australia,239265212,University of Tasmania Newnham Campus,-41.39983377,147.1244064,-41.397102,-41.4044652,147.1287777,147.1196137
Oceania,australia,240897546,Charles Sturt University - Albury Campus,-36.03807298,146.990903,-36.0302509,-36.0438475,146.9974346,146.9846887
